#star_name	spectral_type	m_M	m_M_err	app_mag_J	app_mag_J_err	app_mag_H	app_mag_H_err	app_mag_K	app_mag_K_err	app_mag_3.6	app_mag_3.6_err	app_mag_4.5	app_mag_4.5_err	app_mag_5.8	app_mag_5.8_err	app_mag_8.0	app_mag_8.0_err
SDSSp_J083008.12+482847.4   	L8.0	0.58	0.1	15.44	5	14.34	4	13.68	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
SDSSp_J083717.22-000018.3                        	T0.0	2.4	1.1	-9999	-9999	-9999	-9999	-9999	-9999	14.76	3	14.6	3	14.41	13	14.22	14
SDSSp_J125453.90-012247.4   	T2.0	0.36	0.05	14.89	4	14.09	3	13.84	5	12.63	3	12.39	3	11.99	5	11.75	5
SDSSp_J132629.82-003831.5   	L8.0	1.51	0.28	16.1	7	15.05	6	14.21	7	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
SDSSp_J134646.45-003150.4   	T7.0	0.83	0.07	16	10	15.46	12	15.77	27	14.53	5	13.6	3	13.4	11	13.13	17
SDSSp_J144600.60+002452.0   	L6.0	1.71	0.16	15.89	8	14.51	4	13.94	5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
SDSSp_J162414.37+002915.6                        	T6.0	0.207	0.029	-9999	-9999	-9999	-9999	-9999	-9999	14.3	4	13.08	3	13.25	8	12.84	9
SDSSp_J175032.96+175903.9   	T3.5	2.21	0.28	16.34	10	15.95	13	15.48	19	14.95	3	14.46	3	14.15	23	13.93	23
SDSSp_J225529.09-003433.4   	L0.0	4	0.4	15.65	6	14.76	6	14.44	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
SSSPM_J1102-3431            	M8.5	3.71	0.06	13.03	2	12.36	2	11.89	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
SSSPM_J1256-1408            	-99.9	3.63	0.22	14.01	3	13.62	3	13.44	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
Teegarden's_star            	M6.0	-2.069	0.008	8.39	3	7.88	4	7.59	5	7.12	1	7.1	2	7.05	1	7.02	1
TVLM_213-2005               	-99.9	2.607	0.029	13.39	2	12.74	2	12.26	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_262-111511             	M8.0	2.3	0.4	14.2	3	13.51	3	13.1	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_262-70502              	-99.9	3	0.4	14.18	3	13.47	3	13.09	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
