#PLNTNAME	JST	JST_ERR	HST	HST_ERR	KST	KST_ERR	3.6ST	3.6ST_ERR	4.5ST	4.5ST_ERR	5.8ST	5.8ST_ERR	8.0ST	8.0ST_ERR	DIST	DIST_ERR	J	J_ERR	H	H_ERR	K	K_ERR	3.6	3.6_ERR	4.5	4.5_ERR	5.8	5.8_ERR	8	8.0_ERR	RAD	RAD_ERR	APP_MAG_STAR_W	APP_MAG_STAR_W_ERR	FLUX_RATIO_W	FLUX_RATIO_W_ERR	APP_MAG_STAR_NB1	APP_MAG_STAR_NB1_ERR	FLUX_RATIO_NB1	FLUX_RATIO_NB1_ERR	APP_MAG_STAR_NB2	APP_MAG_STAR_NB2_ERR	FLUX_RATIO_NB2	FLUX_RATIO_NB2_ERR	APP_MAG_STAR_Z	APP_MAG_STAR_Z_ERR	FLUX_RATIO_Z	FLUX_RATIO_Z_ERR	H20	NA	K	ALO	H	C	O	CA	SC	MG	SI	VO	TIO	HCN	CO
KELT-3	-9999	-9999	-9999	-9999	-9999	-9999	8.577	0.022	8.604	0.019	-9999	-9999	-9999	-9999	210.2518695	5.543996535	-999	-999	-999	-999	-999	-999	0.1766	0.0097	0.1656	0.0104	-999	-999	-999	-999	1.333	0.08	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
KELT-7	-9999	-9999	-9999	-9999	-9999	-9999	7.511	0.025	7.538	0.02	-9999	-9999	-9999	-9999	136.6813921	0.937284437	-999	-999	-999	-999	-999	-999	0.1688	0.0046	0.1896	0.0057	-999	-999	-999	-999	1.533	0.047	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
KEPLER-13	9.466	0.022	9.455	0.019	9.425	0.014	9.386	0.023	9.409	0.02	999.9	-99.9	999.9	-99.9	519.0959276	30.7030608	0.0724	0.0071	-999	-999	0.122	0.051	0.156	0.031	0.222	0.023	-999	-999	-999	-999	2.042	0.008	9.546	0.03	0.071	0.08	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
KEPLER-5	-9999	-9999	-9999	-9999	-9999	-9999	11.683	0.022	11.741	0.021	999.9	-99.9	999.9	-99.9	899.7774116	16.77376346	-999	-999	-999	-999	-999	-999	0.103	0.017	0.107	0.015	-999	-999	-999	-999	1.431	0.048	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
KEPLER-6	-9999	-9999	-9999	-9999	-9999	-9999	11.585	0.022	11.643	0.021	999.9	-99.9	999.9	-99.9	587.0390478	5.071021174	-999	-999	-999	-999	-999	-999	0.069	0.027	0.151	0.019	-999	-999	-999	-999	1.323	0.029	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
QATAR-1	10.999	0.021	10.527	0.019	10.409	0.017	10.311	0.023	10.385	0.02	999.9	-99.9	999.9	-99.9	185.6152942	0.804217345	-999	-999	-999	-999	0.136	0.034	0.149	0.051	0.273	0.049	-999	-999	-999	-999	1.143	0.026	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TRES-1	10.294	0.022	9.887	0.021	9.819	0.019	9.779	0.047	9.779	0.044	10.232	0.049	10.241	0.048	159.6577307	0.73592577	-999	-999	-999	-999	-999	-999	0.083	0.024	0.094	0.024	0.162	0.042	0.213	0.042	1.099	0.035	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TRES-2	10.232	0.02	9.92	0.026	9.846	0.022	9.782	0.045	9.79	0.043	10.206	0.069	10.252	0.07	215.3204497	1.049361271	-999	-999	-999	-999	0.062	0.013	0.127	0.021	0.23	0.024	0.199	0.054	0.359	0.06	1.189	0.025	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TRES-3	11.015	0.022	10.655	0.02	10.608	0.017	10.55	0.064	10.599	0.064	11.029	0.076	11.03	0.14	231.3373596	1.302562634	-999	-999	-999	-999	0.133	0.018	0.356	0.035	0.372	0.054	0.449	0.097	0.475	0.046	1.305	0.09	10.928	0.03	0.047	0.028	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TRES-4	10.583	0.018	10.35	0.015	10.33	0.019	10.264	0.064	10.279	0.063	10.7	0.073	10.741	0.074	515.9803733	7.026561442	-999	-999	-999	-999	-999	-999	0.137	0.011	0.148	0.016	0.261	0.059	0.318	0.044	1.706	0.056	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-1	10.586	0.019	10.364	0.016	10.276	0.018	10.234	0.047	10.237	0.044	10.65	0.19	10.71	0.13	393.0722316	10.80218418	-999	-999	-999	-999	-999	-999	0.184	0.016	0.217	0.017	0.274	0.058	0.474	0.046	1.514	0.052	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-10	10.603	0.026	10.117	0.029	9.983	0.018	9.929	0.022	9.997	0.019	999.9	-99.9	999.9	-99.9	140.9979224	0.749895326	-999	-999	-999	-999	0.137	0.019	0.1	0.011	0.146	0.016	-999	-999	-999	-999	1.08	0.02	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-100	-9999	-9999	-9999	-9999	-9999	-9999	9.607	0.023	9.619	0.02	-9999	-9999	-9999	-9999	364.4111086	2.748933555	-999	-999	-999	-999	-999	-999	0.1267	0.0098	0.172	0.0119	-999	-999	-999	-999	1.69	0.29	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-101	-9999	-9999	-9999	-9999	-9999	-9999	9.025	0.024	9.064	0.021	-9999	-9999	-9999	-9999	201.2242448	1.151595815	-999	-999	-999	-999	-999	-999	0.1161	0.0111	0.1194	0.0113	-999	-999	-999	-999	1.41	0.05	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-103	11.1	0.03	10.857	0.03	10.767	0.02	10.703	0.023	10.733	0.022	999.9	-99.9	999.9	-99.9	470	35	0.13122	0.02	-999	-999	0.3567	0.04	0.3702	0.0256	0.4711	0.0339	-999	-999	-999	-999	1.528	0.073	10.976	0.03	0.146	0.027	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-104	-9999	-9999	-9999	-9999	-9999	-9999	9.819	0.023	9.894	0.02	-9999	-9999	-9999	-9999	185.9318503	1.480475426	-999	-999	-999	-999	-999	-999	0.1709	0.0195	0.2643	0.0303	-999	-999	-999	-999	1.137	0.037	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-12	10.477	0.021	10.228	0.022	10.188	0.02	10.111	0.042	10.1	0.038	10.541	0.074	10.55	0.1	427.2461279	6.067720597	0.139	0.03	0.176	0.021	0.296	0.014	0.421	0.011	0.428	0.012	0.696	0.06	0.696	0.096	1.9	0.057	10.361	0.03	0.198	0.022	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-121	-9999	-9999	9.439	0.025	-9999	-9999	9.335	0.023	9.385	0.02	-9999	-9999	-9999	-9999	269.8979918	1.579646427	-999	-999	-999	-999	-999	-999	0.367	0.013	0.4684	0.0121	-999	-999	-999	-999	1.865	0.044	9.522	0.03	0.125	0.011	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-131	-9999	-9999	-9999	-9999	-9999	-9999	8.526	0.023	8.559	0.021	-9999	-9999	-9999	-9999	200.0750786	2.658902712	-999	-999	-999	-999	-999	-999	0.0364	0.0097	0.0282	0.0078	-999	-999	-999	-999	1.22	0.05	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-14	8.869	0.021	8.65	0.019	8.621	0.019	8.586	0.046	8.556	0.043	999.9	-99.9	9.043	0.064	161.9968072	0.809957908	-999	-999	-999	-999	-999	-999	0.1816	0.0067	0.2284	0.009	-999	-999	0.181	0.022	1.281	0.082	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-17	10.509	0.027	10.319	0.024	10.224	0.027	10.196	0.064	10.193	0.065	999.9	-99.9	10.66	0.11	405.9081287	8.77895054	-999	-999	-999	-999	-999	-999	-999	-999	0.229	0.013	-999	-999	0.237	0.039	1.991	0.081	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-18	8.409	0.018	8.231	0.055	8.131	0.027	8.098	0.046	8.115	0.044	8.561	0.047	8.573	0.063	123.4825503	0.371030192	0.094	0.004	-999	-999	0.13	0.03	0.2973	0.007	0.3858	0.0113	0.37	0.03	0.41	0.02	1.165	0.077	8.3	0.03	0.108	0.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
